item_number,source_number_in_text,english_gloss,phonetic_form,phonemic_form,alignment_note
1,1,Body,[ísò],/ísò/,
2,2,Skin,[èkpáísò],/èkpá-ísò/,
3,3,Head,[rètó],/rètó/,
4,4,Forehead,[èzózó],/èzózó/,
5,5,Face,[rɔ],/rósó/,
6,6,Eye,[s  n],/s  n/,
7,7,Eyebrow,[íkóbáyén],/íkóbáyén/,
8,8,Eyelid,[íkóbáyén],/íkóbáyén/,
9,9,Eyelash,[íkóbáyén],/íkóbáyén/,
10,10,Pupil (eye),[rémó-ásén],/rémó-ásén/,
11,11,Nose,[jón],/jón/,
12,12,Bridge,[étàtán],/étàtán/,
13,13,Ear,[òtó],/òtó/,
14,14,Cheek,[íbham/óbam],/íbàm/,
15,15,Mouth,[ámá],/ámá/,
16,16,Lip,[èmàzúb],/èmàzúb/,
17,17,Tongue,[r  m  n],/r  m  n/,
18,18,Tooth,[rèsàn],/rèsàn/,
19,19,Molar tooth,[íbám],/íbám/,
20,20,Palate,[èyèsí],/èyèsí/,
21,21,Jaw,[ìbám],/ìbám/,
22,22,Chin,[rèbèm],/rèbèm/,
23,23,Neck,[ròhòt],/ròhòt/,
24,24,Nape of neck,[èfíb áímèré],/èfíb áímèré/,
25,25,Throat,[èmèré],/èmèré/,
26,26,Voice box (Adam apple),[òkpòhóróró],/òkpòhóróró,
27,27,Hair (of  body),[ìsùp],/ìsùp/,
28,28,Beard,[ìsùb-à-rébèm],/ìsùb-à-rébèm/,
29,29,Hair,[íʃín],/íʃín/,
30,30,Lock (of hair),[bèkpòró íʃínó],/bèkpòró íʃínó/,
31,31,Shoulder,[èwótánò],/èwótánò/,
32,32,Shoulder blade,[ìkáàróhòdò],/ìkáàróhòdò/,
33,33,Chest,[ròfèm],/ròfèm/,
34,standalone,Breast,[rèβèí],/rèβèí/,
35,34,Side (of body),[èkpáísò sénò],/èkpáísò sénò/,
36,35,Waist,[hèʒín],/hèʒín/,
37,36,Navel,[rèhóp],/rèhóp/,
38,37,Umbilical cord,[ròsá rèhóp],/ròsá rèhóp/,
39,38,Abdomen (external),[rémè],/rémè/,
40,39,Abdomen (internal),[ìfàm-á rémè],/ìfàm-á rémè/,
41,40,Womb,[hémá],/hémá/,
42,41,Back,[ízúmá],/ízúmá/,
43,42,Buttocks,[rèβáyòn],/rèβáyòn/,
44,43,Anus,[òmà rèβáyòn],/òmà rèβáyòn/,
45,44,Penis,[rétáí],/rétáí/,
46,45,Testicle,[ìtàhúb],/ìthàhúb/,
47,46,Vagina,[ bíyɔ n],/bíyɔ n/,
48,47,Clitoris,[éhú],/éhú/,
49,48,Arm,[ɔ bɔ ],/ɔ bɔ /,
50,49,Armpit,[évírìvá],/évírìvá/,
51,50,Upper arm,[èwótèn],/èwótèn/,
52,51,Elbow,[èháhá],/èháhá/,
53,52,Forearm,[èwótèn],/èwótèn/,
54,53,Wrist,[rèfùnà ɔ bɔ ],/rèfùnà ɔ bɔ /,
55,54,Hand,[ɔ gbà ɔ bɔ ],/ógbà ɔ bɔ /,
56,55,Fist,[ɔ bɔ ],/ɔ bɔ /,
57,56,Palm (of hand),[rèfùnà ɔ bɔ ],/rèfùnà ɔ bɔ /,
58,57,Finger,[ìnɔ nɔ í],/ìnɔ nɔ í/,
59,58,Thumb,[òróm énɔ nɔ í ábɔ ],/òróm énɔ nɔ í ábɔ /,
60,59,Knuckle,[ógbá ìnɔ nɔ í],/ógbá ìnɔ nɔ í/,
61,60,Fingernail,[ránɔ í],/ránɔ í/,
62,61,Leg,[ɔ vɔ n],/ɔ vɔ n/,
63,62,Hip,[hèʒín],/hèʒín/,
64,63,Thigh,[òttá],/òttá/,
65,64,Knee,[rédù],/rédù/,
66,65,Shin,[rèbèm],/rèbèm/,
67,66,Calt or leg,[réhórábón ávòn],/réhórábón ávòn,
68,67,Ankle,[réhórá ávòn],/réhórá ávòn/,
69,69,Foot,[éyòò],/éyòò/,
70,70,Heel,[réhórà ávòn],/réhórà ávòn/,
71,71,Sole,[rémé ávòn],/rémé ávòn/,
72,72,Toe,[òròm énɔ nɔ í ávòn],/òròm- énɔ nɔ í ávòn/,
73,73,Bone,[èhúb],/èhwúb/,
74,74,Bone marrow,[búdó],/búdó/,
75,75,Skeleton,[βèhúb ɔ sɔ m],/βèhúb ɔ sɔ m/,
76,76,Skull,[èvú-a rétɔ nɔ ],/èvú-a rétɔ nɔ /,
77,77,Breast bone,[èwúb-á-rófèm],/èwúb-á-rófèm/,
78,78,"Spine, backbone",[èhúb íʒùmà],/èhwúb íʒùmà/,
79,79,Rib,[éhúb-á-tátàn],/éhúb-á-tátàn/,
80,80,Brain,[íβón],/íβón/,
81,81,Heart,[ífám-á-rófèm],/ífám-á-rófèm,
82,82,Liver,[rátɔ n],/rátɔ n/,
83,83,Kidney,[évì],/évì/,
84,84,Lung,[rátón-a-rófèm],/rátón-a-rófèm/,
85,85,Intestine,[ísá rémè],/ísá rémè/,
86,86,Bladder,[úshí ránù],/úshí ránù/,
87,87,Gall bladder,[úʃí ránù],/úʃí ránù/,
88,88,Muscle,[ràmù],/ràmù/,
89,89,Tendon,[ràmù],/ràmù/,
90,90,Vein,[rɔ ɲí],/rɔ ɲí/,
91,91,Breath,[ègùβé],/ègùβé/,
92,92,Saliva,[bùkpán],/bùkpán/,
93,93,Nasal mucus,[ímín],/ímín/,
94,94,Tears,[ràʤén],/ràʤén/,
95,95,Blood,[ráʤí],/ráʤí/,
96,96,"Bile, gall",[ínɔ í],/ínɔ í/,
97,97,Semen,[mévén-á-óróm],/mévén-á-óróm/,
98,98,Urine,[ránù],/ránù/,
99,99,Excrement,[ràpín],/ràpín/,
100,100,Blink,[òwón-éyì],/òwón-éyì/,
101,101,Wink,[yén pórópórò],/yén pórópórò/,
102,102,Blow nose,[ʒíyá],/ʒíyá/,
103,103,Breathe,[ègùβé],/ègùβé/,
104,104,Yawn,[ríʤà],/ríʤà/,
105,105,Snore,[ègùβé],/ègùβé/,
106,106,Pant,[rófém-pérépérè],/rófém-pérépérè/,
